customer_id,employee_id,freight,order_date,order_id,required_date,ship_address,ship_city,ship_country,ship_name,ship_postal_code,ship_region,ship_via,shipped_date
VINET,5,32.38,1996-07-04T00:00:00+00:00,10248,1996-08-01T00:00:00+00:00,'59 rue de l''Abbaye',Reims,France,Vins et alcools Chevalier,51100,,3,1996-07-16T00:00:00+00:00
TOMSP,6,11.61,1996-07-05T00:00:00+00:00,10249,1996-08-16T00:00:00+00:00,Luisenstr. 48,Münster,Germany,Toms Spezialitäten,44087,,1,1996-07-10T00:00:00+00:00
HANAR,4,65.83,1996-07-08T00:00:00+00:00,10250,1996-08-05T00:00:00+00:00,'Rua do Paço, 67',Rio de Janeiro,Brazil,Hanari Carnes,05454-876,RJ,2,1996-07-12T00:00:00+00:00
VICTE,3,41.34,1996-07-08T00:00:00+00:00,10251,1996-08-05T00:00:00+00:00,'2, rue du Commerce',Lyon,France,Victuailles en stock,69004,,1,1996-07-15T00:00:00+00:00
SUPRD,4,51.3,1996-07-09T00:00:00+00:00,10252,1996-08-06T00:00:00+00:00,'Boulevard Tirou, 255',Charleroi,Belgium,Suprêmes délices,B-6000,,2,1996-07-11T00:00:00+00:00
HANAR,3,58.17,1996-07-10T00:00:00+00:00,10253,1996-07-24T00:00:00+00:00,'Rua do Paço, 67',Rio de Janeiro,Brazil,Hanari Carnes,05454-876,RJ,2,1996-07-16T00:00:00+00:00
CHOPS,5,22.98,1996-07-11T00:00:00+00:00,10254,1996-08-08T00:00:00+00:00,Hauptstr. 31,Bern,Switzerland,Chop-suey Chinese,3012,,2,1996-07-23T00:00:00+00:00
RICSU,9,148.33,1996-07-12T00:00:00+00:00,10255,1996-08-09T00:00:00+00:00,Starenweg 5,Genève,Switzerland,Richter Supermarkt,1204,,3,1996-07-15T00:00:00+00:00
WELLI,3,13.97,1996-07-15T00:00:00+00:00,10256,1996-08-12T00:00:00+00:00,'Rua do Mercado, 12',Resende,Brazil,Wellington Importadora,08737-363,SP,2,1996-07-17T00:00:00+00:00
HILAA,4,81.91,1996-07-16T00:00:00+00:00,10257,1996-08-13T00:00:00+00:00,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Venezuela,HILARION-Abastos,5022,Táchira,3,1996-07-22T00:00:00+00:00
ERNSH,1,140.51,1996-07-17T00:00:00+00:00,10258,1996-08-14T00:00:00+00:00,Kirchgasse 6,Graz,Austria,Ernst Handel,8010,,1,1996-07-23T00:00:00+00:00
CENTC,4,3.25,1996-07-18T00:00:00+00:00,10259,1996-08-15T00:00:00+00:00,Sierras de Granada 9993,México D.F.,Mexico,Centro comercial Moctezuma,05022,,3,1996-07-25T00:00:00+00:00
OTTIK,4,55.09,1996-07-19T00:00:00+00:00,10260,1996-08-16T00:00:00+00:00,Mehrheimerstr. 369,Köln,Germany,Ottilies Käseladen,50739,,1,1996-07-29T00:00:00+00:00
QUEDE,4,3.05,1996-07-19T00:00:00+00:00,10261,1996-08-16T00:00:00+00:00,'Rua da Panificadora, 12',Rio de Janeiro,Brazil,Que Delícia,02389-673,RJ,2,1996-07-30T00:00:00+00:00
RATTC,8,48.29,1996-07-22T00:00:00+00:00,10262,1996-08-19T00:00:00+00:00,2817 Milton Dr.,Albuquerque,USA,Rattlesnake Canyon Grocery,87110,NM,3,1996-07-25T00:00:00+00:00
ERNSH,9,146.06,1996-07-23T00:00:00+00:00,10263,1996-08-20T00:00:00+00:00,Kirchgasse 6,Graz,Austria,Ernst Handel,8010,,3,1996-07-31T00:00:00+00:00
FOLKO,6,3.67,1996-07-24T00:00:00+00:00,10264,1996-08-21T00:00:00+00:00,Åkergatan 24,Bräcke,Sweden,Folk och fä HB,S-844 67,,3,1996-08-23T00:00:00+00:00
BLONP,2,55.28,1996-07-25T00:00:00+00:00,10265,1996-08-22T00:00:00+00:00,'24, place Kléber',Strasbourg,France,Blondel père et fils,67000,,1,1996-08-12T00:00:00+00:00
WARTH,3,25.73,1996-07-26T00:00:00+00:00,10266,1996-09-06T00:00:00+00:00,Torikatu 38,Oulu,Finland,Wartian Herkku,90110,,3,1996-07-31T00:00:00+00:00
FRANK,4,208.58,1996-07-29T00:00:00+00:00,10267,1996-08-26T00:00:00+00:00,Berliner Platz 43,München,Germany,Frankenversand,80805,,1,1996-08-06T00:00:00+00:00
GROSR,8,66.29,1996-07-30T00:00:00+00:00,10268,1996-08-27T00:00:00+00:00,5ª Ave. Los Palos Grandes,Caracas,Venezuela,GROSELLA-Restaurante,1081,DF,3,1996-08-02T00:00:00+00:00
WHITC,5,4.56,1996-07-31T00:00:00+00:00,10269,1996-08-14T00:00:00+00:00,1029 - 12th Ave. S.,Seattle,USA,White Clover Markets,98124,WA,1,1996-08-09T00:00:00+00:00
WARTH,1,136.54,1996-08-01T00:00:00+00:00,10270,1996-08-29T00:00:00+00:00,Torikatu 38,Oulu,Finland,Wartian Herkku,90110,,1,1996-08-02T00:00:00+00:00
SPLIR,6,4.54,1996-08-01T00:00:00+00:00,10271,1996-08-29T00:00:00+00:00,P.O. Box 555,Lander,USA,Split Rail Beer & Ale,82520,WY,2,1996-08-30T00:00:00+00:00
RATTC,6,98.03,1996-08-02T00:00:00+00:00,10272,1996-08-30T00:00:00+00:00,2817 Milton Dr.,Albuquerque,USA,Rattlesnake Canyon Grocery,87110,NM,2,1996-08-06T00:00:00+00:00
QUICK,3,76.07,1996-08-05T00:00:00+00:00,10273,1996-09-02T00:00:00+00:00,Taucherstraße 10,Cunewalde,Germany,QUICK-Stop,01307,,3,1996-08-12T00:00:00+00:00
VINET,6,6.01,1996-08-06T00:00:00+00:00,10274,1996-09-03T00:00:00+00:00,'59 rue de l''Abbaye',Reims,France,Vins et alcools Chevalier,51100,,1,1996-08-16T00:00:00+00:00
MAGAA,1,26.93,1996-08-07T00:00:00+00:00,10275,1996-09-04T00:00:00+00:00,Via Ludovico il Moro 22,Bergamo,Italy,Magazzini Alimentari Riuniti,24100,,1,1996-08-09T00:00:00+00:00
TORTU,8,13.84,1996-08-08T00:00:00+00:00,10276,1996-08-22T00:00:00+00:00,Avda. Azteca 123,México D.F.,Mexico,Tortuga Restaurante,05033,,3,1996-08-14T00:00:00+00:00
